ReportingArea,MMWRYear,MMWRQuarter,TuberculosisCurrentQuarter,"Tuberculosis*, Current quarter, flag","Tuberculosis*, Previous 4 quarters Min","Tuberculosis*, Previous 4 quarters Min, flag","Tuberculosis*, Previous 4 quarters Max","Tuberculosis*, Previous 4 quarters Max, flag","Tuberculosis*, Cum 2014","Tuberculosis*, Cum 2014, flag","Tuberculosis*, Cum 2013","Tuberculosis*, Cum 2013, flag",Location 1 (state),Location 1,Location 2
UNITED STATES,2014,1,1157,,1157,,2784,,1157,,1259,,,,
NEW ENGLAND,2014,1,46,,46,,89,,46,,42,,,,
MID. ATLANTIC,2014,1,205,,205,,399,,205,,200,,,,
E.N. CENTRAL,2014,1,89,,89,,229,,89,,99,,,,
W.N. CENTRAL,2014,1,36,,36,,110,,36,,46,,,,
S. ATLANTIC,2014,1,231,,231,,519,,231,,230,,,,
E.S. CENTRAL,2014,1,84,,84,,105,,84,,59,,,,
W.S. CENTRAL,2014,1,175,,175,,402,,175,,226,,,,
MOUNTAIN,2014,1,21,,21,,168,,21,,31,,,,
PACIFIC,2014,1,270,,270,,775,,270,,326,,,,
GUAM,2014,1,,-,0,,15,,,-,11,,GUAM,POINT (144.70297250000056 13.355173397000442),
NORTH DAKOTA,2014,1,,-,0,,5,,,-,2,,NORTH DAKOTA,POINT (-100.11842599699969 47.47531738700047),
DIST. OF COL.,2014,1,5,,5,,13,,5,,5,,DIST. OF COL.,POINT (-99.11415045099966 39.52368635500045),
ALASKA,2014,1,6,,6,,19,,6,,13,,ALASKA,POINT (-147.72205669099972 64.84507923900048),
CALIFORNIA,2014,1,231,,231,,668,,231,,252,,CALIFORNIA,POINT (-120.99999889499969 37.638640488000476),
NEBRASKA,2014,1,3,,3,,9,,3,,1,,NEBRASKA,POINT (-99.36571864599966 41.64104043900045),
C.N.M.I.,2014,1,,-,0,,4,,,-,4,,C.N.M.I.,POINT (-99.11415045099966 39.52368635500045),
SOUTH CAROLINA,2014,1,15,,15,,37,,15,,3,,SOUTH CAROLINA,POINT (-81.04536765699964 33.99882060100049),
GEORGIA,2014,1,48,,48,,90,,48,,49,,GEORGIA,POINT (-83.62757601199968 32.83968004200045),
MINNESOTA,2014,1,24,,24,,40,,24,,14,,MINNESOTA,POINT (-94.79419697699967 46.35564867700049),
NORTH CAROLINA,2014,1,12,,12,,107,,12,,18,,NORTH CAROLINA,POINT (-79.15924924699965 35.46622388600048),
ARKANSAS,2014,1,20,,13,,20,,20,,22,,ARKANSAS,POINT (-92.27448794899965 34.748651751000466),
NEW HAMPSHIRE,2014,1,3,,3,,7,,3,,,-,NEW HAMPSHIRE,POINT (-71.50035726399966 43.6559537330005),
IDAHO,2014,1,1,,1,,3,,1,,3,,IDAHO,POINT (-114.3637261449997 43.682630058000484),
KANSAS,2014,1,,-,0,,12,,,-,6,,KANSAS,POINT (-98.20077655499966 38.34774033400049),
NEW YORK CITY,2014,1,132,,132,,163,,132,,127,,NEW YORK CITY,POINT (-74.00596858999967 40.71426755700048),
HAWAII,2014,1,18,,18,,32,,18,,20,,HAWAII,POINT (-157.85774691599974 21.30485166200043),
WASHINGTON,2014,1,,-,0,,59,,,-,30,,WASHINGTON,POINT (-120.47002746299972 47.522287905000496),
KENTUCKY,2014,1,12,,12,,26,,12,,20,,KENTUCKY,POINT (-84.77496612599964 37.645973909000475),
MARYLAND,2014,1,22,,22,,54,,22,,20,,MARYLAND,POINT (-76.60925970899967 39.2905806980005),
MONTANA,2014,1,,-,0,,2,,,-,2,,MONTANA,POINT (-109.42441687999968 47.066526051000494),
VIRGINIA,2014,1,27,,27,,72,,27,,14,,VIRGINIA,POINT (-78.45788924199968 37.54268075100049),
UTAH,2014,1,,-,0,,9,,,-,5,,UTAH,POINT (-111.5871285339997 39.36070374600047),
PUERTO RICO,2014,1,10,,9,,17,,10,,7,,PUERTO RICO,POINT (-98.34556876399967 26.649497232000442),
