ReportingArea,MMWRYear,MMWRQuarter,TuberculosisCurrentQuarter,"Tuberculosis†, Current quarter, flag","Tuberculosis†, Previous 4 quarters Min","Tuberculosis†, Previous 4 quarters Min, flag","Tuberculosis†, Previous 4 quarters Max","Tuberculosis†, Previous 4 quarters Max, flag","Tuberculosis†, Cum 2017","Tuberculosis†, Cum 2017, flag","Tuberculosis†, Cum 2016","Tuberculosis†, Cum 2016, flag",Location 1,Location 2
UNITED STATES,2017,1,1113,,1113,,2802,,1113,,1240,,,UNITED STATES
NEW ENGLAND,2017,1,41,,41,,87,,41,,38,,,NEW ENGLAND
MID. ATLANTIC,2017,1,237,,237,,364,,237,,156,,,MID. ATLANTIC
NEW YORK CITY,2017,1,140,,136,,161,,140,,90,,NEW YORK CITY,
E.N. CENTRAL,2017,1,117,,117,,229,,117,,102,,,E.N. CENTRAL
W.N. CENTRAL,2017,1,39,,39,,116,,39,,57,,,W.N. CENTRAL
S. ATLANTIC,2017,1,175,,175,,504,,175,,230,,,S. ATLANTIC
DIST. OF COL.,2017,1,6,,4,,6,,6,,8,,DIST. OF COL.,
E.S. CENTRAL,2017,1,94,,87,,122,,94,,34,,,E.S. CENTRAL
W.S. CENTRAL,2017,1,64,,64,,413,,64,,232,,,W.S. CENTRAL
MOUNTAIN,2017,1,42,,42,,258,,42,,18,,,MOUNTAIN
PACIFIC,2017,1,304,,304,,744,,304,,373,,,PACIFIC
AMER. SAMOA,2017,1,,-,0,,1,,,-,,-,AMER. SAMOA,
C.N.M.I.,2017,1,5,,5,,7,,5,,8,,C.N.M.I.,
VIRGIN ISL.,2017,1,,-,0,,0,,,-,,-,VIRGIN ISL.,
NEBRASKA,2017,1,4,,3,,16,,4,,1,,"NEBRASKA
(41.640503, -99.367122)",
OHIO,2017,1,22,,22,,59,,22,,13,,"OHIO
(40.056807, -82.405897)",
HAWAII,2017,1,20,,20,,34,,20,,25,,"HAWAII
(21.30992, -157.858158)",
FLORIDA,2017,1,68,,68,,167,,68,,102,,"FLORIDA
(28.915325, -81.922409)",
