ReportingArea,MMWRYear,MMWRQuarter,TuberculosisCurrentQuarter,"Tuberculosis†, Current quarter, flag","Tuberculosis†, Previous 4 quarters Min","Tuberculosis†, Previous 4 quarters Min, flag","Tuberculosis†, Previous 4 quarters Max","Tuberculosis†, Previous 4 quarters Max, flag","Tuberculosis†, Cum 2019","Tuberculosis†, Cum 2019, flag","Tuberculosis†, Cum 2018","Tuberculosis†, Cum 2018, flag",Location 1,Location 2,New Georeferenced Column
UNITED STATES,2019,2,1566,,1487,,2471,,3088,,4275,,,UNITED STATES,
UNITED STATES,2019,1,1182,,1182,,2568,,1197,,1256,,,UNITED STATES,
NEW HAMPSHIRE,2019,1,3,,1,,3,,3,,2,,NEW HAMPSHIRE,,POINT (-71.57139 43.680429)
NEW YORK,2019,1,37,,37,,60,,37,,38,,NEW YORK,,POINT (-75.59655 42.921241)
PACIFIC,2019,1,349,,349,,687,,350,,357,,,PACIFIC,
WEST SOUTH CENTRAL,2019,1,60,,60,,452,,61,,220,,,WEST SOUTH CENTRAL,
NEBRASKA,2019,1,2,,1,,10,,2,,2,,NEBRASKA,,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2019,1,61,,61,,111,,63,,71,,,EAST SOUTH CENTRAL,
NORTH DAKOTA,2019,1,2,,2,,3,,2,,5,,NORTH DAKOTA,,POINT (-100.46931 47.446305)
NEVADA,2019,1,8,,8,,22,,8,,3,,NEVADA,,POINT (-114.916992 39.283294)
ILLINOIS,2019,1,48,,48,,92,,48,,53,,ILLINOIS,,POINT (-89.148632 40.124144)
IOWA,2019,1,,-,0,,15,,,-,6,,IOWA,,POINT (-93.500061 42.074659)
TEXAS,2019,1,9,,9,,386,,9,,169,,TEXAS,,POINT (-99.317341 31.447238)
ALASKA,2019,1,8,,8,,19,,8,,5,,ALASKA,,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2019,1,,-,0,,15,,,-,4,,DISTRICT OF COLUMBIA,,POINT (-77.016275 38.904785)
WASHINGTON,2019,1,51,,40,,55,,51,,28,,WASHINGTON,,POINT (-120.592492 47.411715)
NEW ENGLAND,2019,1,49,,49,,75,,50,,50,,,NEW ENGLAND,
RHODE ISLAND,2019,1,3,,2,,5,,3,,3,,RHODE ISLAND,,POINT (-71.534637 41.572574)
OREGON,2019,1,10,,10,,24,,10,,11,,OREGON,,POINT (-120.605279 43.940449)
DELAWARE,2019,1,,-,0,,12,,,-,,-,DELAWARE,,POINT (-75.452394 38.994926)
ALABAMA,2019,1,15,,15,,29,,15,,15,,ALABAMA,,POINT (-86.844516 32.756889)
KANSAS,2019,1,,-,0,,7,,,-,9,,KANSAS,,POINT (-98.38018 38.484729)
NORTH CAROLINA,2019,1,10,,10,,71,,10,,21,,NORTH CAROLINA,,POINT (-79.130883 35.52603)
PUERTO RICO,2019,1,6,,6,,8,,6,,2,,PUERTO RICO,,POINT (-66.414655 18.215692)
NEW JERSEY,2019,1,78,,64,,78,,83,,16,,NEW JERSEY,,POINT (-74.655514 40.110253)
NEW MEXICO,2019,1,5,,5,,14,,5,,4,,NEW MEXICO,,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2019,1,118,,118,,257,,118,,101,,,EAST NORTH CENTRAL,
TENNESSEE,2019,1,26,,26,,36,,28,,33,,TENNESSEE,,POINT (-86.343226 35.842998)
CONNECTICUT,2019,1,7,,7,,14,,7,,11,,CONNECTICUT,,POINT (-72.738288 41.575155)
MARYLAND,2019,1,29,,29,,66,,29,,22,,MARYLAND,,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2019,1,11,,11,,40,,11,,,-,SOUTH CAROLINA,,POINT (-80.864614 33.878572)
OKLAHOMA,2019,1,16,,13,,22,,16,,18,,OKLAHOMA,,POINT (-97.508297 35.583449)
GUAM,2019,1,12,,12,,21,,12,,11,,GUAM,,POINT (144.653198 13.3532)
OHIO,2019,1,22,,22,,70,,22,,11,,OHIO,,POINT (-82.70936 40.415534)
MINNESOTA,2019,1,25,,25,,51,,25,,13,,MINNESOTA,,POINT (-94.198308 46.349153)
LOUISIANA,2019,1,14,,14,,27,,15,,25,,LOUISIANA,,POINT (-91.840238 30.921314)
HAWAII,2019,1,4,,4,,32,,4,,25,,HAWAII,,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2019,1,213,,213,,502,,213,,174,,,SOUTH ATLANTIC,
PENNSYLVANIA,2019,1,30,,30,,64,,30,,28,,PENNSYLVANIA,,POINT (-77.838886 40.896694)
UTAH,2019,1,5,,2,,5,,5,,3,,UTAH,,POINT (-111.678222 39.323779)
COLORADO,2019,1,9,,9,,22,,9,,7,,COLORADO,,POINT (-105.547832 38.998552)
VERMONT,2019,1,,-,0,,2,,1,,2,,VERMONT,,POINT (-72.662695 44.075252)
KENTUCKY,2019,1,14,,13,,22,,14,,7,,KENTUCKY,,POINT (-85.290484 37.526683)
U.S. VIRGIN ISLANDS,2019,1,,-,0,,0,,,-,,-,VIRGIN ISLANDS,,POINT (-64.840836 18.060868)
MAINE,2019,1,,-,0,,9,,,-,1,,MAINE,,POINT (-69.06137 45.117911)
VIRGINIA,2019,1,10,,10,,88,,10,,19,,VIRGINIA,,POINT (-78.666382 37.510861)
ARIZONA,2019,1,13,,13,,47,,13,,37,,ARIZONA,,POINT (-111.664616 34.293239)
NORTHERN MARIANA ISLANDS,2019,1,,-,0,,13,,,-,14,,NORTHERN MARIANA ISLANDS,,POINT (145.725693 15.1834)
WISCONSIN,2019,1,8,,5,,18,,8,,8,,WISCONSIN,,POINT (-89.732969 44.639954)
IDAHO,2019,1,1,,1,,4,,1,,2,,IDAHO,,POINT (-114.659366 44.389073)
MICHIGAN,2019,1,13,,13,,37,,13,,19,,MICHIGAN,,POINT (-85.730977 44.874798)
GEORGIA,2019,1,48,,48,,79,,48,,20,,GEORGIA,,POINT (-83.426574 32.638481)
NEW YORK CITY,2019,1,114,,114,,147,,119,,97,,,NEW YORK CITY,
ARKANSAS,2019,1,21,,16,,24,,21,,8,,ARKANSAS,,POINT (-92.439162 34.899825)
MISSISSIPPI,2019,1,6,,6,,29,,6,,16,,MISSISSIPPI,,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2019,1,3,,1,,5,,3,,1,,SOUTH DAKOTA,,POINT (-100.230491 44.43614)
WYOMING,2019,1,,-,0,,0,,,-,,-,WYOMING,,POINT (-107.55145 42.999627)
MISSOURI,2019,1,,-,0,,22,,,-,11,,MISSOURI,,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2019,1,259,,259,,321,,269,,179,,,MIDDLE ATLANTIC,
CALIFORNIA,2019,1,276,,276,,579,,277,,288,,CALIFORNIA,,POINT (-119.662127 37.211164)
WEST VIRGINIA,2019,1,,-,0,,3,,,-,,-,WEST VIRGINIA,,POINT (-80.613729 38.642579)
FLORIDA,2019,1,105,,105,,159,,105,,88,,FLORIDA,,POINT (-82.420978 28.260731)
MONTANA,2019,1,,-,0,,1,,,-,1,,MONTANA,,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2019,1,32,,32,,101,,32,,47,,,WEST NORTH CENTRAL,
MASSACHUSETTS,2019,1,36,,36,,52,,36,,31,,MASSACHUSETTS,,POINT (-71.481104 42.151077)
MOUNTAIN,2019,1,41,,41,,105,,41,,57,,,MOUNTAIN,
INDIANA,2019,1,27,,23,,41,,27,,10,,INDIANA,,POINT (-86.2818 39.919991)
AMERICAN SAMOA,2019,1,,-,0,,1,,,-,,-,,AMERICAN SAMOA,
NEW HAMPSHIRE,2019,2,,-,0,,4,,4,,6,,NEW HAMPSHIRE,,POINT (-71.57139 43.680429)
NEW YORK,2019,2,39,,39,,60,,81,,99,,NEW YORK,,POINT (-75.59655 42.921241)
PACIFIC,2019,2,436,,436,,686,,976,,1210,,,PACIFIC,
WEST SOUTH CENTRAL,2019,2,40,,40,,357,,100,,688,,,WEST SOUTH CENTRAL,
NEBRASKA,2019,2,,-,0,,10,,2,,9,,NEBRASKA,,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2019,2,73,,69,,86,,143,,215,,,EAST SOUTH CENTRAL,
NORTH DAKOTA,2019,2,,-,0,,4,,4,,8,,NORTH DAKOTA,,POINT (-100.46931 47.446305)
NEVADA,2019,2,11,,9,,19,,20,,32,,NEVADA,,POINT (-114.916992 39.283294)
ILLINOIS,2019,2,101,,51,,101,,152,,145,,ILLINOIS,,POINT (-89.148632 40.124144)
IOWA,2019,2,,-,0,,15,,,-,25,,IOWA,,POINT (-93.500061 42.074659)
TEXAS,2019,2,,-,0,,291,,1,,563,,TEXAS,,POINT (-99.317341 31.447238)
ALASKA,2019,2,13,,8,,18,,22,,30,,ALASKA,,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2019,2,4,,4,,8,,10,,21,,DISTRICT OF COLUMBIA,,POINT (-77.016275 38.904785)
WASHINGTON,2019,2,55,,40,,56,,111,,95,,WASHINGTON,,POINT (-120.592492 47.411715)
NEW ENGLAND,2019,2,65,,60,,74,,126,,157,,,NEW ENGLAND,
RHODE ISLAND,2019,2,6,,2,,6,,9,,13,,RHODE ISLAND,,POINT (-71.534637 41.572574)
OREGON,2019,2,21,,11,,23,,33,,34,,OREGON,,POINT (-120.605279 43.940449)
DELAWARE,2019,2,7,,1,,7,,8,,12,,DELAWARE,,POINT (-75.452394 38.994926)
ALABAMA,2019,2,18,,15,,29,,33,,47,,ALABAMA,,POINT (-86.844516 32.756889)
KANSAS,2019,2,,-,0,,6,,4,,19,,KANSAS,,POINT (-98.38018 38.484729)
NORTH CAROLINA,2019,2,45,,12,,71,,57,,79,,NORTH CAROLINA,,POINT (-79.130883 35.52603)
PUERTO RICO,2019,2,9,,6,,9,,16,,9,,PUERTO RICO,,POINT (-66.414655 18.215692)
NEW JERSEY,2019,2,76,,64,,79,,159,,105,,NEW JERSEY,,POINT (-74.655514 40.110253)
NEW MEXICO,2019,2,4,,4,,14,,10,,16,,NEW MEXICO,,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2019,2,168,,130,,257,,298,,336,,,EAST NORTH CENTRAL,
TENNESSEE,2019,2,29,,25,,31,,55,,82,,TENNESSEE,,POINT (-86.343226 35.842998)
CONNECTICUT,2019,2,19,,8,,19,,31,,29,,CONNECTICUT,,POINT (-72.738288 41.575155)
MARYLAND,2019,2,54,,30,,68,,85,,96,,MARYLAND,,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2019,2,18,,14,,40,,32,,30,,SOUTH CAROLINA,,POINT (-80.864614 33.878572)
OKLAHOMA,2019,2,14,,14,,22,,31,,35,,OKLAHOMA,,POINT (-97.508297 35.583449)
GUAM,2019,2,12,,12,,21,,25,,31,,GUAM,,POINT (144.653198 13.3532)
OHIO,2019,2,19,,19,,70,,41,,68,,OHIO,,POINT (-82.70936 40.415534)
MINNESOTA,2019,2,39,,26,,45,,65,,79,,MINNESOTA,,POINT (-94.198308 46.349153)
LOUISIANA,2019,2,23,,14,,25,,40,,59,,LOUISIANA,,POINT (-91.840238 30.921314)
HAWAII,2019,2,9,,9,,32,,22,,62,,HAWAII,,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2019,2,368,,268,,503,,654,,715,,,SOUTH ATLANTIC,
PENNSYLVANIA,2019,2,53,,32,,56,,85,,106,,PENNSYLVANIA,,POINT (-77.838886 40.896694)
UTAH,2019,2,6,,3,,6,,12,,10,,UTAH,,POINT (-111.678222 39.323779)
COLORADO,2019,2,12,,12,,19,,24,,31,,COLORADO,,POINT (-105.547832 38.998552)
VERMONT,2019,2,2,,0,,2,,2,,3,,VERMONT,,POINT (-72.662695 44.075252)
