ReportingArea,MMWR Year,MMWR Week,"Tuberculosis, Current week","Tuberculosis, Current week, flag","Tuberculosis, Previous 52 weeks Max†","Tuberculosis, Previous 52 weeks Max†, flag","Tuberculosis, Cum 2020†","Tuberculosis, Cum 2020†, flag","Tuberculosis, Cum 2019†","Tuberculosis, Cum 2019†, flag","Tularemia, Current week","Tularemia, Current week, flag","Tularemia, Previous 52 weeks Max†","Tularemia, Previous 52 weeks Max†, flag","Tularemia, Cum 2020†","Tularemia, Cum 2020†, flag","Tularemia, Cum 2019†","Tularemia, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
TOTAL,2020,1,,U,,NC,,U,,U,,-,22,,,-,,-,,TOTAL,20200170,
US RESIDENTS,2020,2,,U,,NC,,U,,U,,-,22,,,-,1,,,US RESIDENTS,20200201,
US RESIDENTS,2020,3,,U,,NC,,U,,U,,-,22,,,-,2,,,US RESIDENTS,20200301,
US RESIDENTS,2020,5,44,,286,,378,,701,,,-,22,,,-,5,,,US RESIDENTS,20200501,
US TERRITORIES,2020,1,,U,,NC,,U,,U,,-,0,,,-,,-,,US TERRITORIES,20200163,
WEST SOUTH CENTRAL,2020,1,,U,,NC,,U,,U,,-,12,,,-,,-,,WEST SOUTH CENTRAL,20200143,
ILLINOIS,2020,1,,U,,NC,,U,,U,,-,0,,,-,,-,ILLINOIS,,20200115,POINT (-89.148632 40.124144)
SOUTH DAKOTA,2020,1,,U,,NC,,U,,U,,-,3,,,-,,-,SOUTH DAKOTA,,20200127,POINT (-100.230491 44.43614)
KENTUCKY,2020,1,,U,,NC,,U,,U,,-,2,,,-,,-,KENTUCKY,,20200140,POINT (-85.290484 37.526683)
NEW JERSEY,2020,1,,U,,NC,,U,,U,,-,1,,,-,,-,NEW JERSEY,,20200110,POINT (-74.655514 40.110253)
SOUTH ATLANTIC,2020,1,,U,,NC,,U,,U,,-,1,,,-,,-,,SOUTH ATLANTIC,20200128,
NEW MEXICO,2020,1,,U,,NC,,U,,U,,-,1,,,-,,-,NEW MEXICO,,20200154,POINT (-106.108388 34.421369)
GEORGIA,2020,1,,U,,NC,,U,,U,,-,0,,,-,,-,GEORGIA,,20200132,POINT (-83.426574 32.638481)
DISTRICT OF COLUMBIA,2020,1,,U,,NC,,U,,U,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20200130,POINT (-77.016275 38.904785)
ALABAMA,2020,1,,U,,NC,,U,,U,,-,1,,,-,,-,ALABAMA,,20200139,POINT (-86.844516 32.756889)
ARIZONA,2020,1,,U,,NC,,U,,U,,-,1,,,-,,-,ARIZONA,,20200149,POINT (-111.664616 34.293239)
WYOMING,2020,1,,U,,NC,,U,,U,,-,1,,,-,,-,WYOMING,,20200156,POINT (-107.55145000000002 42.999627)
MARYLAND,2020,1,,U,,NC,,U,,U,,-,1,,,-,,-,MARYLAND,,20200133,POINT (-76.68728200000001 38.946466)
WEST VIRGINIA,2020,1,,U,,NC,,U,,U,,-,0,,,-,,-,WEST VIRGINIA,,20200137,POINT (-80.613729 38.642579000000005)
US RESIDENTS,2020,1,,U,,NC,,U,,U,,-,22,,,-,,-,,US RESIDENTS,20200101,
NEBRASKA,2020,1,,U,,NC,,U,,U,,-,3,,,-,,-,NEBRASKA,,20200125,POINT (-99.810595 41.527099)
CALIFORNIA,2020,1,,U,,NC,,U,,U,,-,1,,,-,,-,CALIFORNIA,,20200159,POINT (-119.662127 37.211164)
CONNECTICUT,2020,1,,U,,NC,,U,,U,,-,0,,,-,,-,CONNECTICUT,,20200103,POINT (-72.738288 41.575155)
PENNSYLVANIA,2020,1,,U,,NC,,U,,U,,-,1,,,-,,-,PENNSYLVANIA,,20200113,POINT (-77.838886 40.896694)
KANSAS,2020,1,,U,,NC,,U,,U,,-,1,,,-,,-,KANSAS,,20200122,POINT (-98.38018 38.484729)
OHIO,2020,1,,U,,NC,,U,,U,,-,0,,,-,,-,OHIO,,20200118,POINT (-82.70936 40.41553400000001)
