ReportingArea,MMWRYear,MMWRWeek,TuberculosisCurrentWeek,"Tuberculosis, Current week, flag","Tuberculosis, Previous 52 weeks Max†","Tuberculosis, Previous 52 weeks Max†, flag",TuberculosisCum2021,"Tuberculosis, Cum 2021†, flag","Tuberculosis, Cum 2020†","Tuberculosis, Cum 2020†, flag","Tularemia, Current week","Tularemia, Current week, flag","Tularemia, Previous 52 weeks Max†","Tularemia, Previous 52 weeks Max†, flag","Tularemia, Cum 2021†","Tularemia, Cum 2021†, flag","Tularemia, Cum 2020†","Tularemia, Cum 2020†, flag",Location 1,Location 2,Reporting Area Sort,geocode
US RESIDENTS,2021,5,24,,282,,256,,671,,,-,6,,,-,2,,,US RESIDENTS,20210501,
TOTAL,2021,1,52,,161,,52,,205,,,-,6,,,-,1,,,TOTAL,20210170,
US RESIDENTS,2021,2,25,,177,,91,,296,,,-,6,,,-,1,,,US RESIDENTS,20210201,
NEW HAMPSHIRE,2021,2,,-,3,,,-,1,,,-,0,,,-,,-,NEW HAMPSHIRE,,20210206,POINT (-71.57139 43.680429)
NEW YORK,2021,2,3,,6,,3,,16,,,-,1,,,-,,-,NEW YORK,,20210211,POINT (-75.59655 42.921241)
PACIFIC,2021,2,3,,65,,16,,108,,,-,3,,,-,,-,,PACIFIC,20210257,
WEST SOUTH CENTRAL,2021,2,1,,35,,2,,44,,,-,2,,,-,1,,,WEST SOUTH CENTRAL,20210243,
NEBRASKA,2021,2,,-,2,,,-,1,,,-,1,,,-,,-,NEBRASKA,,20210225,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2021,2,,-,16,,2,,12,,,-,1,,,-,,-,,EAST SOUTH CENTRAL,20210238,
NORTH DAKOTA,2021,2,,-,3,,,-,,-,,-,2,,,-,,-,NORTH DAKOTA,,20210226,POINT (-100.46931 47.446305)
NEVADA,2021,2,,-,3,,2,,,-,,-,0,,,-,,-,NEVADA,,20210253,POINT (-114.916992 39.283294)
ILLINOIS,2021,2,,-,34,,,-,7,,,-,1,,,-,,-,ILLINOIS,,20210215,POINT (-89.148632 40.124144)
IOWA,2021,2,,-,3,,,-,,-,,-,1,,,-,,-,IOWA,,20210221,POINT (-93.500061 42.074659)
TEXAS,2021,2,,-,33,,,-,34,,,-,0,,,-,,-,TEXAS,,20210247,POINT (-99.317341 31.447238)
ALASKA,2021,2,,-,4,,,-,4,,,-,0,,,-,,-,ALASKA,,20210258,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2021,2,,-,3,,,-,1,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20210230,POINT (-77.016275 38.904785)
WASHINGTON,2021,2,,-,8,,4,,8,,,-,2,,,-,,-,WASHINGTON,,20210262,POINT (-120.592492 47.411715)
NEW ENGLAND,2021,2,1,,9,,2,,8,,,-,1,,,-,,-,,NEW ENGLAND,20210202,
RHODE ISLAND,2021,2,,-,2,,,-,1,,,-,0,,,-,,-,RHODE ISLAND,,20210207,POINT (-71.534637 41.572574)
OREGON,2021,2,1,,4,,2,,1,,,-,1,,,-,,-,OREGON,,20210261,POINT (-120.605279 43.940449)
DELAWARE,2021,2,,-,2,,,-,,-,,-,1,,,-,,-,DELAWARE,,20210229,POINT (-75.452394 38.994926)
ALABAMA,2021,2,,-,6,,,-,3,,,-,1,,,-,,-,ALABAMA,,20210239,POINT (-86.844516 32.756889)
KANSAS,2021,2,,-,0,,,-,,-,,-,1,,,-,,-,KANSAS,,20210222,POINT (-98.38018 38.484729)
NORTH CAROLINA,2021,2,,-,13,,,-,,-,,-,1,,,-,,-,NORTH CAROLINA,,20210234,POINT (-79.130883 35.52603)
GUAM,2021,2,1,,5,,1,,3,,,-,0,,,-,,-,GUAM,,20210266,POINT (144.653198 13.3532)
NEW JERSEY,2021,2,,-,61,,,-,,-,,-,1,,,-,,-,NEW JERSEY,,20210210,POINT (-74.655514 40.110253)
NEW MEXICO,2021,2,,-,3,,,-,,-,,-,1,,,-,,-,NEW MEXICO,,20210254,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2021,2,3,,40,,40,,30,,,-,2,,,-,,-,,EAST NORTH CENTRAL,20210214,
TENNESSEE,2021,2,,-,6,,2,,3,,,-,1,,,-,,-,TENNESSEE,,20210242,POINT (-86.343226 35.842998)
CONNECTICUT,2021,2,,-,4,,,-,1,,,-,0,,,-,,-,CONNECTICUT,,20210203,POINT (-72.738288 41.575155)
AMERICAN SAMOA,2021,2,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20210264,
MARYLAND,2021,2,,-,8,,,-,7,,,-,0,,,-,,-,MARYLAND,,20210233,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2021,2,,-,6,,,-,,-,,-,0,,,-,,-,SOUTH CAROLINA,,20210235,POINT (-80.864614 33.878572)
OKLAHOMA,2021,2,1,,5,,2,,5,,,-,1,,,-,,-,OKLAHOMA,,20210246,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2021,2,,-,3,,,-,1,,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20210265,POINT (145.725693 15.1834)
OHIO,2021,2,1,,35,,36,,19,,,-,0,,,-,,-,OHIO,,20210218,POINT (-82.70936 40.415534)
MINNESOTA,2021,2,,-,12,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20210223,POINT (-94.198308 46.349153)
LOUISIANA,2021,2,,-,7,,,-,3,,,-,0,,,-,,-,LOUISIANA,,20210245,POINT (-91.840238 30.921314)
HAWAII,2021,2,,-,5,,,-,6,,,-,0,,,-,,-,HAWAII,,20210260,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2021,2,,-,35,,1,,56,,,-,1,,,-,,-,,SOUTH ATLANTIC,20210228,
PENNSYLVANIA,2021,2,,-,10,,,-,3,,,-,0,,,-,,-,PENNSYLVANIA,,20210213,POINT (-77.838886 40.896694)
UTAH,2021,2,,-,4,,,-,,-,,-,0,,,-,,-,UTAH,,20210255,POINT (-111.678222 39.323779)
COLORADO,2021,2,,-,7,,,-,2,,,-,1,,,-,,-,COLORADO,,20210250,POINT (-105.547832 38.998552)
VERMONT,2021,2,,-,1,,,-,,-,,-,0,,,-,,-,VERMONT,,20210208,POINT (-72.662695 44.075252)
KENTUCKY,2021,2,,-,8,,,-,2,,,-,1,,,-,,-,KENTUCKY,,20210240,POINT (-85.290484 37.526683)
PUERTO RICO,2021,2,,-,4,,,-,1,,,-,0,,,-,,-,PUERTO RICO,,20210267,POINT (-66.414655 18.215692)
MAINE,2021,2,,-,3,,,-,,-,,-,0,,,-,,-,MAINE,,20210204,POINT (-69.06137 45.117911)
VIRGINIA,2021,2,,-,12,,,-,1,,,-,1,,,-,,-,VIRGINIA,,20210236,POINT (-78.666382 37.510861)
ARIZONA,2021,2,,-,0,,,-,,-,,-,1,,,-,,-,ARIZONA,,20210249,POINT (-111.664616 34.293239)
WISCONSIN,2021,2,,-,3,,1,,3,,,-,1,,,-,,-,WISCONSIN,,20210219,POINT (-89.732969 44.639954)
IDAHO,2021,2,,-,2,,,-,,-,,-,0,,,-,,-,IDAHO,,20210251,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2021,2,,-,1,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20210268,POINT (-64.840836 18.060868)
MICHIGAN,2021,2,,-,0,,,-,,-,,-,1,,,-,,-,MICHIGAN,,20210217,POINT (-85.730977 44.874798)
GEORGIA,2021,2,,-,11,,,-,28,,,-,0,,,-,,-,GEORGIA,,20210232,POINT (-83.426574 32.638481)
NEW YORK CITY,2021,2,14,,18,,21,,15,,,-,0,,,-,,-,,NEW YORK CITY,20210212,
ARKANSAS,2021,2,,-,4,,,-,2,,,-,2,,,-,1,,ARKANSAS,,20210244,POINT (-92.439162 34.899825)
MISSISSIPPI,2021,2,,-,3,,,-,4,,,-,0,,,-,,-,MISSISSIPPI,,20210241,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2021,2,,-,2,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,20210227,POINT (-100.230491 44.43614)
WYOMING,2021,2,,-,0,,,-,,-,,-,1,,,-,,-,WYOMING,,20210256,POINT (-107.55145 42.999627)
MISSOURI,2021,2,,-,4,,2,,1,,,-,2,,,-,,-,MISSOURI,,20210224,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2021,2,17,,71,,24,,34,,,-,1,,,-,,-,,MIDDLE ATLANTIC,20210209,
CALIFORNIA,2021,2,2,,60,,10,,89,,,-,1,,,-,,-,CALIFORNIA,,20210259,POINT (-119.662127 37.211164)
WEST VIRGINIA,2021,2,,-,2,,,-,1,,,-,0,,,-,,-,WEST VIRGINIA,,20210237,POINT (-80.613729 38.642579)
FLORIDA,2021,2,,-,14,,1,,18,,,-,0,,,-,,-,FLORIDA,,20210231,POINT (-82.420978 28.260731)
MONTANA,2021,2,,-,2,,,-,,-,,-,1,,,-,,-,MONTANA,,20210252,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2021,2,,-,12,,2,,2,,,-,3,,,-,,-,,WEST NORTH CENTRAL,20210220,
MASSACHUSETTS,2021,2,1,,7,,2,,5,,,-,1,,,-,,-,MASSACHUSETTS,,20210205,POINT (-71.481104 42.151077)
MOUNTAIN,2021,2,,-,9,,2,,2,,,-,1,,,-,,-,,MOUNTAIN,20210248,
INDIANA,2021,2,2,,5,,3,,1,,,-,1,,,-,,-,INDIANA,,20210216,POINT (-86.2818 39.919991)
US RESIDENTS,2021,1,52,,159,,52,,203,,,-,6,,,-,1,,,US RESIDENTS,20210101,
NEW ENGLAND,2021,1,1,,9,,1,,4,,,-,1,,,-,,-,,NEW ENGLAND,20210102,
CONNECTICUT,2021,1,,-,4,,,-,1,,,-,0,,,-,,-,CONNECTICUT,,20210103,POINT (-72.738288 41.575155)
MAINE,2021,1,,-,3,,,-,,-,,-,0,,,-,,-,MAINE,,20210104,POINT (-69.06137 45.117911)
MASSACHUSETTS,2021,1,1,,7,,1,,3,,,-,1,,,-,,-,MASSACHUSETTS,,20210105,POINT (-71.481104 42.151077)
NEW HAMPSHIRE,2021,1,,-,3,,,-,,-,,-,0,,,-,,-,NEW HAMPSHIRE,,20210106,POINT (-71.57139 43.680429)
RHODE ISLAND,2021,1,,-,2,,,-,,-,,-,0,,,-,,-,RHODE ISLAND,,20210107,POINT (-71.534637 41.572574)
VERMONT,2021,1,,-,1,,,-,,-,,-,0,,,-,,-,VERMONT,,20210108,POINT (-72.662695 44.075252)
MIDDLE ATLANTIC,2021,1,7,,61,,7,,26,,,-,1,,,-,,-,,MIDDLE ATLANTIC,20210109,
SOUTH ATLANTIC,2021,1,,-,35,,,-,40,,,-,1,,,-,,-,,SOUTH ATLANTIC,20210128,
NEW JERSEY,2021,1,,-,54,,,-,,-,,-,1,,,-,,-,NEW JERSEY,,20210110,POINT (-74.655514 40.110253)
NEW YORK,2021,1,,-,6,,,-,15,,,-,1,,,-,,-,NEW YORK,,20210111,POINT (-75.59655 42.921241)
NEW YORK CITY,2021,1,7,,18,,7,,10,,,-,0,,,-,,-,,NEW YORK CITY,20210112,
PENNSYLVANIA,2021,1,,-,10,,,-,1,,,-,0,,,-,,-,PENNSYLVANIA,,20210113,POINT (-77.838886 40.896694)
EAST NORTH CENTRAL,2021,1,38,,40,,38,,27,,,-,2,,,-,,-,,EAST NORTH CENTRAL,20210114,
ILLINOIS,2021,1,,-,34,,,-,7,,,-,1,,,-,,-,ILLINOIS,,20210115,POINT (-89.148632 40.124144)
INDIANA,2021,1,1,,5,,1,,1,,,-,1,,,-,,-,INDIANA,,20210116,POINT (-86.2818 39.919991)
MICHIGAN,2021,1,,-,0,,,-,,-,,-,1,,,-,,-,MICHIGAN,,20210117,POINT (-85.730977 44.874798)
OHIO,2021,1,36,,19,,36,,19,,,-,0,,,-,,-,OHIO,,20210118,POINT (-82.70936 40.415534)
WISCONSIN,2021,1,1,,3,,1,,,-,,-,1,,,-,,-,WISCONSIN,,20210119,POINT (-89.732969 44.639954)
WEST NORTH CENTRAL,2021,1,,-,12,,,-,1,,,-,3,,,-,,-,,WEST NORTH CENTRAL,20210120,
IOWA,2021,1,,-,3,,,-,,-,,-,1,,,-,,-,IOWA,,20210121,POINT (-93.500061 42.074659)
KANSAS,2021,1,,-,0,,,-,,-,,-,1,,,-,,-,KANSAS,,20210122,POINT (-98.38018 38.484729)
MINNESOTA,2021,1,,-,9,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20210123,POINT (-94.198308 46.349153)
MISSOURI,2021,1,,-,4,,,-,1,,,-,2,,,-,,-,MISSOURI,,20210124,POINT (-92.477244 38.3675)
NEBRASKA,2021,1,,-,2,,,-,,-,,-,1,,,-,,-,NEBRASKA,,20210125,POINT (-99.810595 41.527099)
NORTH DAKOTA,2021,1,,-,3,,,-,,-,,-,2,,,-,,-,NORTH DAKOTA,,20210126,POINT (-100.46931 47.446305)
SOUTH DAKOTA,2021,1,,-,2,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,20210127,POINT (-100.230491 44.43614)
DELAWARE,2021,1,,-,2,,,-,,-,,-,1,,,-,,-,DELAWARE,,20210129,POINT (-75.452394 38.994926)
